"","Species","colony_id","avg_temp_interval","Temperature","Light","Run","micromol.cm2.s","micromol.cm2.h","Stage","PAR","Pc"
"135","P. grandis","POG-178",34.71348,"35","560",5,3.44332713577843e-05,0.123959776888023,"Adult",560,3.44332713577843e-05
"136","P. grandis","POG-178",37.3968755555556,"38","0",5,-0.00013231477955198,-0.476333206387128,"Adult",0,-0.00013231477955198
"137","P. grandis","POG-178",37.60243,"38","560",5,-2.10115292953221e-05,-0.0756415054631594,"Adult",560,-2.10115292953221e-05
"138","P. grandis","POG-178",39.4492655555556,"40","0",5,-0.000136125380797717,-0.49005137087178,"Adult",0,-0.000136125380797717
"139","P. grandis","POG-178",39.8517333333333,"40","560",5,-0.000120380626681139,-0.4333702560521,"Adult",560,-0.000120380626681139
"140","P. meandrina","POM-001",17.3314111111111,"17","0",5,-5.27395591104435e-05,-0.189862412797597,"Adult",0,-5.27395591104435e-05
"141","P. meandrina","POM-001",17.2410755555556,"17","560",5,0.00010176104007405,0.366339744266581,"Adult",560,0.00010176104007405
"142","P. meandrina","POM-001",21.2712603351955,"21","0",5,-9.43063478648724e-05,-0.339502852313541,"Adult",0,-9.43063478648724e-05
"143","P. meandrina","POM-001",21.2247822222222,"21","560",5,0.00010291739297003,0.370502614692106,"Adult",560,0.00010291739297003
"144","P. meandrina","POM-001",23.9322644444444,"24","0",5,-0.000107974173636488,-0.388707025091358,"Adult",0,-0.000107974173636488
"145","P. meandrina","POM-001",24.0475633333333,"24","560",5,8.91543841796422e-05,0.320955783046712,"Adult",560,8.91543841796422e-05
"146","P. meandrina","POM-001",27.79836,"28","0",5,-0.000120614697846275,-0.434212912246589,"Adult",0,-0.000120614697846275
"147","P. meandrina","POM-001",28.0352833333333,"28","560",5,9.90664705353522e-05,0.356639293927268,"Adult",560,9.90664705353522e-05
"148","P. meandrina","POM-001",29.64298,"30","0",5,-0.000139247159727979,-0.501289775020725,"Adult",0,-0.000139247159727979
"149","P. meandrina","POM-001",29.7659622222222,"30","560",5,7.67684987465747e-05,0.276366595487669,"Adult",560,7.67684987465747e-05
"150","P. meandrina","POM-001",31.5721466666667,"32","0",5,-0.00014295813824432,-0.514649297679551,"Adult",0,-0.00014295813824432
"151","P. meandrina","POM-001",31.7496177777778,"32","560",5,9.95134268994411e-05,0.358248336837988,"Adult",560,9.95134268994411e-05
"152","P. meandrina","POM-001",34.3196866666667,"35","0",5,-0.000173021309203623,-0.622876713133041,"Adult",0,-0.000173021309203623
"153","P. meandrina","POM-001",34.4676611111111,"35","560",5,2.80149752791713e-05,0.100853911005017,"Adult",560,2.80149752791713e-05
"154","P. meandrina","POM-001",37.1957244444444,"38","0",5,-8.89384687024422e-05,-0.320178487328792,"Adult",0,-8.89384687024422e-05
"155","P. meandrina","POM-001",37.4803477777778,"38","560",5,2.68781311954306e-05,0.0967612723035503,"Adult",560,2.68781311954306e-05
"156","P. meandrina","POM-001",39.1480566666667,"40","0",5,-7.83343417284198e-05,-0.282003630222311,"Adult",0,-7.83343417284198e-05
"157","P. meandrina","POM-001",39.3862188888889,"40","560",5,-7.69721481874263e-05,-0.277099733474735,"Adult",560,-7.69721481874263e-05
"158","P. meandrina","POM-002",17.2322377777778,"17","0",5,-5.11615067479922e-05,-0.184181424292772,"Adult",0,-5.11615067479922e-05
"159","P. meandrina","POM-002",17.2860388888889,"17","560",5,7.2060904897601e-05,0.259419257631364,"Adult",560,7.2060904897601e-05
"160","P. meandrina","POM-002",21.3100545454545,"21","0",5,-2.88624040538005e-05,-0.103904654593682,"Adult",0,-2.88624040538005e-05
"161","P. meandrina","POM-002",21.5239977777778,"21","560",5,0.000136399941481806,0.4910397893345,"Adult",560,0.000136399941481806
"162","P. meandrina","POM-002",23.9036444444444,"24","0",5,-0.000103604650379558,-0.37297674136641,"Adult",0,-0.000103604650379558
"163","P. meandrina","POM-002",24.1250633333333,"24","560",5,0.000153497492166691,0.552590971800088,"Adult",560,0.000153497492166691
"164","P. meandrina","POM-002",27.7708077777778,"28","0",5,-0.000133012885038545,-0.478846386138763,"Adult",0,-0.000133012885038545
"165","P. meandrina","POM-002",28.0365377777778,"28","560",5,0.000152260907596937,0.548139267348974,"Adult",560,0.000152260907596937
"166","P. meandrina","POM-002",29.7719,"30","0",5,-0.000157374220788074,-0.566547194837066,"Adult",0,-0.000157374220788074
"167","P. meandrina","POM-002",30.1840644444444,"30","560",5,0.000142922022408215,0.514519280669576,"Adult",560,0.000142922022408215
"168","P. meandrina","POM-002",31.5969944444444,"32","0",5,-0.000184635421195105,-0.664687516302377,"Adult",0,-0.000184635421195105
"169","P. meandrina","POM-002",31.8040022222222,"32","560",5,0.000155680774774608,0.560450789188587,"Adult",560,0.000155680774774608
"170","P. meandrina","POM-002",34.4122011111111,"35","0",5,-0.000202099860158719,-0.727559496571389,"Adult",0,-0.000202099860158719
"171","P. meandrina","POM-002",34.65449,"35","560",5,0.000123152835217083,0.443350206781499,"Adult",560,0.000123152835217083
"172","P. meandrina","POM-002",37.2818088888889,"38","0",5,-0.000147123123688643,-0.529643245279113,"Adult",0,-0.000147123123688643
"173","P. meandrina","POM-002",37.5343033333333,"38","560",5,9.53735040454943e-06,0.0343344614563779,"Adult",560,9.53735040454943e-06
"174","P. meandrina","POM-002",39.2296388888889,"40","0",5,-0.000111707762579729,-0.402147945287025,"Adult",0,-0.000111707762579729
"175","P. meandrina","POM-002",39.5250055555556,"40","560",5,-0.000112412987297767,-0.404686754271962,"Adult",560,-0.000112412987297767
"176","P. meandrina","POM-003",17.7823022222222,"17","0",3,-7.98763796913208e-05,-0.287554966888755,"Adult",0,-7.98763796913208e-05
"177","P. meandrina","POM-003",17.9013644444444,"17","560",3,0.000113573207157812,0.408863545768122,"Adult",560,0.000113573207157812
"178","P. meandrina","POM-003",21.5142222222222,"21","0",3,-9.00333862257927e-05,-0.324120190412854,"Adult",0,-9.00333862257927e-05
"179","P. meandrina","POM-003",21.7934958333333,"21","560",3,0.000136209013439321,0.490352448381556,"Adult",560,0.000136209013439321
"180","P. meandrina","POM-003",24.1800788888889,"24","0",3,-0.000111092832926466,-0.399934198535278,"Adult",0,-0.000111092832926466
"181","P. meandrina","POM-003",24.4637697916667,"24","560",3,0.000137756919073005,0.495924908662817,"Adult",560,0.000137756919073005
"182","P. meandrina","POM-003",28.2008541666667,"28","0",3,-0.000138828044079198,-0.499780958685112,"Adult",0,-0.000138828044079198
"183","P. meandrina","POM-003",28.3160055555556,"28","560",3,0.000131689030113608,0.474080508408991,"Adult",560,0.000131689030113608
"184","P. meandrina","POM-003",30.1777201767305,"30","0",3,-0.000131553264157973,-0.473591750968702,"Adult",0,-0.000131553264157973
"185","P. meandrina","POM-003",30.383603125,"30","560",3,0.000133616854786959,0.481020677233053,"Adult",560,0.000133616854786959
"186","P. meandrina","POM-003",31.8550933333333,"32","0",3,-0.000186747884242633,-0.672292383273479,"Adult",0,-0.000186747884242633
"187","P. meandrina","POM-003",31.8112733333333,"32","560",3,0.000122438218057794,0.440777585008058,"Adult",560,0.000122438218057794
"188","P. meandrina","POM-003",34.9430875,"35","0",3,-0.000203894075076288,-0.734018670274638,"Adult",0,-0.000203894075076288
"189","P. meandrina","POM-003",35.1511122222222,"35","560",3,8.31992307387103e-05,0.299517230659357,"Adult",560,8.31992307387103e-05
"190","P. meandrina","POM-003",37.79091,"38","0",3,-0.000159061019585233,-0.572619670506839,"Adult",0,-0.000159061019585233
"191","P. meandrina","POM-003",37.9729133333333,"38","560",3,-4.35398636880959e-05,-0.156743509277145,"Adult",560,-4.35398636880959e-05
"192","P. meandrina","POM-003",39.391,"40","0",3,-8.32994941654333e-05,-0.29987817899556,"Adult",0,-8.32994941654333e-05
"193","P. meandrina","POM-003",39.7006722222222,"40","560",3,-9.10075048064348e-05,-0.327627017303165,"Adult",560,-9.10075048064348e-05
"194","P. meandrina","POM-133",17.6697455555556,"17","0",3,-6.76545824082178e-05,-0.243556496669584,"Adult",0,-6.76545824082178e-05
"195","P. meandrina","POM-133",17.8172722222222,"17","560",3,0.000139312713429336,0.501525768345609,"Adult",560,0.000139312713429336
"196","P. meandrina","POM-133",21.4112766666667,"21","0",3,-8.17517891940575e-05,-0.294306441098607,"Adult",0,-8.17517891940575e-05
"197","P. meandrina","POM-133",21.7411697916667,"21","560",3,0.000147183568662716,0.529860847185779,"Adult",560,0.000147183568662716
"198","P. meandrina","POM-133",24.12567,"24","0",3,-0.000127430127719424,-0.458748459789925,"Adult",0,-0.000127430127719424
"199","P. meandrina","POM-133",24.5025958333333,"24","560",3,0.000164454208766379,0.592035151558964,"Adult",560,0.000164454208766379
"200","P. meandrina","POM-133",28.2198864583333,"28","0",3,-0.00016787839161172,-0.604362209802193,"Adult",0,-0.00016787839161172
"201","P. meandrina","POM-133",28.4904033333333,"28","560",3,0.000144808772458397,0.52131158085023,"Adult",560,0.000144808772458397
"202","P. meandrina","POM-133",30.1322076583211,"30","0",3,-0.000170056679219078,-0.612204045188682,"Adult",0,-0.000170056679219078
"203","P. meandrina","POM-133",30.388340625,"30","560",3,0.000180201724862823,0.648726209506164,"Adult",560,0.000180201724862823
"204","P. meandrina","POM-133",31.7861611111111,"32","0",3,-0.000210704564675124,-0.758536432830446,"Adult",0,-0.000210704564675124
"205","P. meandrina","POM-133",31.7879811111111,"32","560",3,0.000123623156998504,0.445043365194615,"Adult",560,0.000123623156998504
"206","P. meandrina","POM-133",34.9341208333333,"35","0",3,-0.000192488765610874,-0.692959556199146,"Adult",0,-0.000192488765610874
"207","P. meandrina","POM-133",35.1387066666667,"35","560",3,0.000108446390992022,0.390407007571279,"Adult",560,0.000108446390992022
"208","P. meandrina","POM-133",37.7714922222222,"38","0",3,-0.000174841636699824,-0.629429892119366,"Adult",0,-0.000174841636699824
"209","P. meandrina","POM-133",38.1235377777778,"38","560",3,-7.55210969710165e-05,-0.271875949095659,"Adult",560,-7.55210969710165e-05
"210","P. meandrina","POM-133",39.4929577777778,"40","0",3,-6.48967167169019e-05,-0.233628180180847,"Adult",0,-6.48967167169019e-05
